,n_MC,n,T,mu,mu_n,IS_Estimate,IS_Variance,CI
0,10000,100,0.5,0.01,1,0.7333476,0.4128732,0.01259379
1,10000,100,1.0,0.01,1,0.926902,11.95803,0.06777631
2,10000,100,1.5,0.01,1,0.946042,104.9281,0.2007678
3,10000,100,2.0,0.01,1,0.826982,265.9122,0.3196077
4,10000,100,2.5,0.01,1,0.6202773,304.3737,0.3419414
5,10000,100,3.0,0.01,1,0.4058519,205.3501,0.2808637
6,10000,100,3.5,0.01,1,0.2360934,95.2244,0.1912591
7,10000,100,4.0,0.01,1,0.124859,33.4749,0.1133986
8,10000,100,4.5,0.01,1,0.06111626,9.509733,0.06044108
9,10000,100,5.0,0.01,1,0.02790703,2.278561,0.02958547
10,10000,100,0.5,0.02,2,0.3879376,0.1324764,0.007133742
11,10000,100,1.0,0.02,2,0.7086991,0.5270544,0.01422905
12,10000,100,1.5,0.02,2,0.8178078,4.705436,0.04251557
13,10000,100,2.0,0.02,2,0.804383,23.22192,0.09444896
14,10000,100,2.5,0.02,2,0.7039626,51.86705,0.1411542
15,10000,100,3.0,0.02,2,0.5489293,63.69006,0.156417
16,10000,100,3.5,0.02,2,0.3833209,50.45542,0.1392201
17,10000,100,4.0,0.02,2,0.2413344,27.93842,0.1035974
18,10000,100,4.5,0.02,2,0.1381917,11.59071,0.06672723
19,10000,100,5.0,0.02,2,0.07386868,4.117259,0.03976969
20,10000,100,0.5,0.03,3,0.1557551,0.03568767,0.003702603
21,10000,100,1.0,0.03,3,0.4787085,0.1774405,0.008256091
22,10000,100,1.5,0.03,3,0.6758552,0.5549909,0.01460128
23,10000,100,2.0,0.03,3,0.7174632,2.249127,0.02939376
24,10000,100,2.5,0.03,3,0.6495797,6.220992,0.04888526
25,10000,100,3.0,0.03,3,0.5246044,12.45004,0.06915659
26,10000,100,3.5,0.03,3,0.3836605,16.75754,0.08023303
27,10000,100,4.0,0.03,3,0.257134,15.52699,0.07723101
28,10000,100,4.5,0.03,3,0.1596717,10.74688,0.0642524
29,10000,100,5.0,0.03,3,0.09100838,5.022089,0.04392283
30,10000,100,0.5,0.04,4,0.04796331,0.005014412,0.0013879
31,10000,100,1.0,0.04,4,0.2662303,0.08092455,0.005575557
32,10000,100,1.5,0.04,4,0.4996852,0.2038182,0.008848498
33,10000,100,2.0,0.04,4,0.627451,0.6158817,0.01538143
34,10000,100,2.5,0.04,4,0.6533433,3.976132,0.03908215
35,10000,100,3.0,0.04,4,0.6242543,29.34837,0.1061794
36,10000,100,3.5,0.04,4,0.5801413,132.65,0.2257365
37,10000,100,4.0,0.04,4,0.5359021,349.3356,0.3663275
38,10000,100,4.5,0.04,4,0.4812515,571.5226,0.4685595
39,10000,100,5.0,0.04,4,0.4154776,673.6783,0.5087148
40,10000,100,0.5,0.05,5,0.01280158,0.0004482929,0.0004149818
41,10000,100,1.0,0.05,5,0.1307858,0.02682223,0.00320993
42,10000,100,1.5,0.05,5,0.3339901,0.1061696,0.006386284
43,10000,100,2.0,0.05,5,0.5007169,0.2117171,0.009018329
44,10000,100,2.5,0.05,5,0.5760518,0.5428744,0.01444102
45,10000,100,3.0,0.05,5,0.5711357,1.892682,0.02696416
46,10000,100,3.5,0.05,5,0.5182104,6.875968,0.05139431
47,10000,100,4.0,0.05,5,0.4432663,18.7445,0.08485649
48,10000,100,4.5,0.05,5,0.3620804,34.58312,0.1152604
49,10000,100,5.0,0.05,5,0.2847322,48.03731,0.1358431
50,10000,100,0.5,0.06,6,0.002857903,2.715764e-05,0.0001021396
51,10000,100,1.0,0.06,6,0.05488009,0.006251225,0.001549639
52,10000,100,1.5,0.06,6,0.1953747,0.04941514,0.004356905
53,10000,100,2.0,0.06,6,0.3587437,0.1155829,0.006663385
54,10000,100,2.5,0.06,6,0.4684575,0.2050147,0.008874431
55,10000,100,3.0,0.06,6,0.5011197,0.4462401,0.01309279
56,10000,100,3.5,0.06,6,0.4719883,1.059262,0.02017204
