,T, mu, mu_n, IS_Estimate, IS_Variance, CI, Time
0,0.5,0.01,1,0.7333476,0.4128732,0.01259379, 0:00:59.430376
1,1.0,0.01,1,0.926902,11.95803,0.06777631, 0:00:59.250680
2,1.5,0.01,1,0.946042,104.9281,0.2007678, 0:00:59.475689
3,2.0,0.01,1,0.826982,265.9122,0.3196077, 0:00:58.881378
4,2.5,0.01,1,0.6202773,304.3737,0.3419414, 0:01:04.414960
5,3.0,0.01,1,0.4058519,205.3501,0.2808637, 0:01:01.090630
6,3.5,0.01,1,0.2360934,95.2244,0.1912591, 0:01:05.633320
7,4.0,0.01,1,0.124859,33.4749,0.1133986, 0:01:00.368342
8,4.5,0.01,1,0.06111626,9.509733,0.06044108, 0:01:00.693917
9,5.0,0.01,1,0.02790703,2.278561,0.02958547, 0:01:05.816080
10,0.5,0.02,2,0.3879376,0.1324764,0.007133742, 0:01:44.353523
11,1.0,0.02,2,0.7086991,0.5270544,0.01422905, 0:01:46.090327
12,1.5,0.02,2,0.8178078,4.705436,0.04251557, 0:01:43.808129
13,2.0,0.02,2,0.804383,23.22192,0.09444896, 0:01:44.316773
14,2.5,0.02,2,0.7039626,51.86705,0.1411542, 0:01:45.339893
15,3.0,0.02,2,0.5489293,63.69006,0.156417, 0:01:44.088505
16,3.5,0.02,2,0.3833209,50.45542,0.1392201, 0:01:42.677693
17,4.0,0.02,2,0.2413344,27.93842,0.1035974, 0:01:44.550358
18,4.5,0.02,2,0.1381917,11.59071,0.06672723, 0:01:43.496759
19,5.0,0.02,2,0.07386868,4.117259,0.03976969, 0:01:44.672202
20,0.5,0.03,3,0.1557551,0.03568767,0.003702603, 0:02:16.053224
21,1.0,0.03,3,0.4787085,0.1774405,0.008256091, 0:02:17.384184
22,1.5,0.03,3,0.6758552,0.5549909,0.01460128, 0:02:18.854739
23,2.0,0.03,3,0.7174632,2.249127,0.02939376, 0:02:13.946910
24,2.5,0.03,3,0.6495797,6.220992,0.04888526, 0:02:19.400411
25,3.0,0.03,3,0.5246044,12.45004,0.06915659, 0:02:17.059521
26,3.5,0.03,3,0.3836605,16.75754,0.08023303, 0:02:16.691587
27,4.0,0.03,3,0.257134,15.52699,0.07723101, 0:02:27.665339
28,4.5,0.03,3,0.1596717,10.74688,0.0642524, 0:02:20.981588
29,5.0,0.03,3,0.09100838,5.022089,0.04392283, 0:02:16.149328
30,0.5,0.04,4,0.04796331,0.005014412,0.0013879, 0:02:45.982630
31,1.0,0.04,4,0.2662303,0.08092455,0.005575557, 0:02:45.946540
32,1.5,0.04,4,0.4996852,0.2038182,0.008848498, 0:02:54.486889
33,2.0,0.04,4,0.627451,0.6158817,0.01538143, 0:02:47.328584
34,2.5,0.04,4,0.6533433,3.976132,0.03908215, 0:02:47.361170
35,3.0,0.04,4,0.6242543,29.34837,0.1061794, 0:02:48.385613
36,3.5,0.04,4,0.5801413,132.65,0.2257365, 0:02:43.913177
37,4.0,0.04,4,0.5359021,349.3356,0.3663275, 0:02:53.067177
38,4.5,0.04,4,0.4812515,571.5226,0.4685595, 0:02:59.299006
39,5.0,0.04,4,0.4154776,673.6783,0.5087148, 0:02:51.822880
40,0.5,0.05,5,0.01280158,0.0004482929,0.0004149818, 0:03:20.376439
41,1.0,0.05,5,0.1307858,0.02682223,0.00320993, 0:03:16.344170
42,1.5,0.05,5,0.3339901,0.1061696,0.006386284, 0:03:16.563338
43,2.0,0.05,5,0.5007169,0.2117171,0.009018329, 0:03:16.860447
44,2.5,0.05,5,0.5760518,0.5428744,0.01444102, 0:03:17.217099
45,3.0,0.05,5,0.5711357,1.892682,0.02696416, 0:03:15.923919
46,3.5,0.05,5,0.5182104,6.875968,0.05139431, 0:03:19.058174
47,4.0,0.05,5,0.4432663,18.7445,0.08485649, 0:03:15.415976
48,4.5,0.05,5,0.3620804,34.58312,0.1152604, 0:03:23.668155
49,5.0,0.05,5,0.2847322,48.03731,0.1358431, 0:03:16.319353
50,0.5,0.06,6,0.002857903,2.715764e-05,0.0001021396, 0:03:41.150230
51,1.0,0.06,6,0.05488009,0.006251225,0.001549639, 0:03:40.700507
52,1.5,0.06,6,0.1953747,0.04941514,0.004356905, 0:03:44.083734
53,2.0,0.06,6,0.3587437,0.1155829,0.006663385, 0:03:45.882313
54,2.5,0.06,6,0.4684575,0.2050147,0.008874431, 0:03:44.917156
55,3.0,0.06,6,0.5011197,0.4462401,0.01309279, 0:03:46.530596
56,3.5,0.06,6,0.4719883,1.059262,0.02017204, 0:03:52.738421
57,4.0,0.06,6,0.4069633,2.186298,0.02898029, 0:03:48.065603
58,4.5,0.06,6,0.3270353,3.521458,0.0367798, 0:03:44.005427
