,n_MC,n,T,mu,mu_n,Estimate,Variance
0,10000,100,0.5,0.01,1,0.9993671,0.0006325108
1,10000,100,1.0,0.01,1,0.9998734,0.0001265663
2,10000,100,1.5,0.01,1,0.9999367,6.328713e-05
3,10000,100,2.0,0.01,1,0.9999367,6.328713e-05
4,10000,100,2.5,0.01,1,1.0,0.0
5,10000,100,3.0,0.01,1,1.0,0.0
6,10000,100,3.5,0.01,1,1.0,0.0
7,10000,100,4.0,0.01,1,1.0,0.0
8,10000,100,4.5,0.01,1,1.0,0.0
9,10000,100,5.0,0.01,1,1.0,0.0
10,10000,100,0.5,0.02,2,0.748481,0.1882572
11,10000,100,1.0,0.02,2,0.9362658,0.05967213
12,10000,100,1.5,0.02,2,0.9833544,0.01636849
13,10000,100,2.0,0.02,2,0.9957595,0.004222524
14,10000,100,2.5,0.02,2,0.9991139,0.0008852908
15,10000,100,3.0,0.02,2,0.9998101,0.0001898374
16,10000,100,3.5,0.02,2,0.9998734,0.0001265663
17,10000,100,4.0,0.02,2,1.0,0.0
18,10000,100,4.5,0.02,2,1.0,0.0
19,10000,100,5.0,0.02,2,1.0,0.0
20,10000,100,0.5,0.03,3,0.3979747,0.2395908
21,10000,100,1.0,0.03,3,0.7620886,0.1813096
22,10000,100,1.5,0.03,3,0.9133544,0.07913811
23,10000,100,2.0,0.03,3,0.9720253,0.0271921
24,10000,100,2.5,0.03,3,0.9924684,0.00747492
25,10000,100,3.0,0.03,3,0.9979114,0.002084245
26,10000,100,3.5,0.03,3,0.9986709,0.001327347
27,10000,100,4.0,0.03,3,0.9999367,6.328713e-05
28,10000,100,4.5,0.03,3,0.9998734,0.0001265663
29,10000,100,5.0,0.03,3,1.0,0.0
30,10000,100,0.5,0.04,4,0.1593038,0.1339261
31,10000,100,1.0,0.04,4,0.5194937,0.24962
32,10000,100,1.5,0.04,4,0.7818987,0.1705331
33,10000,100,2.0,0.04,4,0.9091139,0.0826258
34,10000,100,2.5,0.04,4,0.9687342,0.03028827
35,10000,100,3.0,0.04,4,0.9886076,0.01126262
36,10000,100,3.5,0.04,4,0.9962025,0.003783048
37,10000,100,4.0,0.04,4,0.9986076,0.001390466
38,10000,100,4.5,0.04,4,0.9997468,0.0002531005
39,10000,100,5.0,0.04,4,0.9998101,0.0001898374
40,10000,100,0.5,0.05,5,0.04822785,0.04590192
41,10000,100,1.0,0.05,5,0.2998101,0.209924
42,10000,100,1.5,0.05,5,0.5940506,0.2411545
43,10000,100,2.0,0.05,5,0.798481,0.1609091
44,10000,100,2.5,0.05,5,0.9098734,0.08200378
45,10000,100,3.0,0.05,5,0.9646203,0.03412802
46,10000,100,3.5,0.05,5,0.9872785,0.01255968
47,10000,100,4.0,0.05,5,0.9948101,0.005162939
48,10000,100,4.5,0.05,5,0.9976582,0.002336288
49,10000,100,5.0,0.05,5,0.9993671,0.0006325108
50,10000,100,0.5,0.06,6,0.01177215,0.01163357
51,10000,100,1.0,0.06,6,0.1481013,0.1261673
52,10000,100,1.5,0.06,6,0.3921519,0.2383688
53,10000,100,2.0,0.06,6,0.6417089,0.2299186
54,10000,100,2.5,0.06,6,0.8107595,0.1534285
55,10000,100,3.0,0.06,6,0.9170253,0.07608989
56,10000,100,3.5,0.06,6,0.9653165,0.0334806
57,10000,100,4.0,0.06,6,0.9855696,0.01422214
58,10000,100,4.5,0.06,6,0.9925949,0.007350228
59,10000,100,5.0,0.06,6,0.9977848,0.002210283
60,10000,100,0.5,0.07,7,0.002658228,0.002651162
61,10000,100,1.0,0.07,7,0.06316456,0.0591748
62,10000,100,1.5,0.07,7,0.2301899,0.1772025
