n_MC,n,T,mu,mu_n,Estimate,Variance,CI,IS_Estimate,IS_Variance,IS_CI
10000,100,1,0.01,1,0.01,0.001636102,0.000792781,0.926902,11.95803,0.06777631
10000,100,3,0.01,1,0.01,0.0009027718,0.0005888939,0.4058519,205.3501,0.2808637
10000,100,5,0.01,1,0.01,0.0006874636,0.0005138933,0.02790703,2.278561,0.02958547
10000,100,1,0.02,2,0.01,0.001636102,0.000792781,0.7086991,0.5270544,0.01422905
10000,100,3,0.02,2,0.01,0.0009027718,0.0005888939,0.5489293,63.69006,0.156417
10000,100,5,0.02,2,0.01,0.0006874636,0.0005138933,0.07386868,4.117259,0.03976969
10000,100,1,0.03,3,0.01,0.001636102,0.000792781,0.4787085,0.1774405,0.008256091
10000,100,3,0.03,3,0.01,0.0009027718,0.0005888939,0.5246044,12.45004,0.06915659
10000,100,5,0.03,3,0.01,0.0006874636,0.0005138933,0.09100838,5.022089,0.04392283
10000,100,1,0.04,4,0.01,0.001636102,0.000792781,0.2662303,0.08092455,0.005575557
10000,100,3,0.04,4,0.01,0.0009027718,0.0005888939,0.6242543,29.34837,0.1061794
10000,100,5,0.04,4,0.01,0.0006874636,0.0005138933,0.4154776,673.6783,0.5087148
10000,100,1,0.05,5,0.01,0.001636102,0.000792781,0.1307858,0.02682223,0.00320993
10000,100,3,0.05,5,0.01,0.0009027718,0.0005888939,0.5711357,1.892682,0.02696416
10000,100,5,0.05,5,0.01,0.0006874636,0.0005138933,0.2847322,48.03731,0.1358431
10000,100,1,0.06,6,0.01,0.001636102,0.000792781,0.05488009,0.006251225,0.001549639
10000,100,3,0.06,6,0.01,0.0009027718,0.0005888939,0.5011197,0.4462401,0.01309279
10000,100,5,0.06,6,0.01,0.0006874636,0.0005138933,0.2479215,4.26463,0.04047518
10000,100,1,0.07,7,0.01,0.001636102,0.000792781,0.006617864,0.0001333269,0.0002263116
10000,100,3,0.07,7,0.01,0.0009027718,0.0005888939,0.3383464,0.09968839,0.006188286
10000,100,5,0.07,7,0.01,0.0006874636,0.0005138933,0.2608975,0.6449627,0.01574039
10000,100,1,0.08,8,0.01,0.001636102,0.000792781,0.006617864,0.0001333269,0.0002263116
10000,100,3,0.08,8,0.01,0.0009027718,0.0005888939,0.3383464,0.09968839,0.006188286
10000,100,5,0.08,8,0.01,0.0006874636,0.0005138933,0.2608975,0.6449627,0.01574039
10000,100,1,0.09,9,0.01,0.001636102,0.000792781,0.002042387,1.428349e-05,7.407391e-05
10000,100,3,0.09,9,0.01,0.0009027718,0.0005888939,0.2511633,0.06160914,0.004864863
10000,100,5,0.09,9,0.01,0.0006874636,0.0005138933,0.2533907,0.2684553,0.0101551
10000,100,1,0.11,11,0.01,0.001636102,0.000792781,0.000137095,7.884542e-08,5.503467e-06
10000,100,3,0.11,11,0.01,0.0009027718,0.0005888939,0.1145015,0.018946,0.002697782
10000,100,5,0.11,11,0.01,0.0006874636,0.0005138933,0.2063047,0.05625242,0.004648563
10000,100,1,0.12,12,0.01,0.001636102,0.000792781,3.084211e-05,4.41162e-09,1.301809e-06
10000,100,3,0.12,12,0.01,0.0009027718,0.0005888939,0.06889404,0.008210998,0.001776013
10000,100,5,0.12,12,0.01,0.0006874636,0.0005138933,0.1777443,0.03418168,0.003623638
10000,100,1,0.13,13,0.01,0.001636102,0.000792781,6.524238e-06,2.143313e-10,2.869399e-07
10000,100,3,0.13,13,0.01,0.0009027718,0.0005888939,0.03934575,0.003166167,0.001102846
10000,100,5,0.13,13,0.01,0.0006874636,0.0005138933,0.1451667,0.02186942,0.002898456
10000,100,1,0.14,14,0.01,0.001636102,0.000792781,2.395069e-07,3.316044e-13,1.128647e-08
10000,100,3,0.14,14,0.01,0.0009027718,0.0005888939,0.01080317,0.0003147871,0.0003477415
10000,100,5,0.14,14,0.01,0.0006874636,0.0005138933,0.08637027,0.009815978,0.001941846
10000,100,1,0.15,15,0.01,0.001636102,0.000792781,2.395069e-07,3.316044e-13,1.128647e-08
10000,100,3,0.15,15,0.01,0.0009027718,0.0005888939,0.01080317,0.0003147871,0.0003477415
10000,100,5,0.15,15,0.01,0.0006874636,0.0005138933,0.08637027,0.009815978,0.001941846
10000,100,1,0.16,16,0.01,0.001636102,0.000792781,4.119708e-08,1.041918e-14,2.000621e-09
10000,100,3,0.16,16,0.01,0.0009027718,0.0005888939,0.00512735,7.981276e-05,0.0001750992
10000,100,5,0.16,16,0.01,0.0006874636,0.0005138933,0.06127762,0.005730371,0.001483677
10000,100,1,0.17,17,0.01,0.001636102,0.000792781,6.700512e-09,2.914099e-16,3.345802e-10
10000,100,3,0.17,17,0.01,0.0009027718,0.0005888939,0.0023174,1.799113e-05,8.313374e-05
10000,100,5,0.17,17,0.01,0.0006874636,0.0005138933,0.04193327,0.003132519,0.00109697
10000,100,1,0.18,18,0.01,0.001636102,0.000792781,1.049947e-09,7.5627e-18,5.389972e-11
10000,100,3,0.18,18,0.01,0.0009027718,0.0005888939,0.001007602,3.766843e-06,3.803968e-05
10000,100,5,0.18,18,0.01,0.0006874636,0.0005138933,0.02776762,0.001593334,0.0007823508
10000,100,1,0.19,19,0.01,0.001636102,0.000792781,1.518191e-10,1.682272e-19,8.038891e-12
10000,100,3,0.19,19,0.01,0.0009027718,0.0005888939,0.0004081043,6.783957e-07,1.61432e-05
10000,100,5,0.19,19,0.01,0.0006874636,0.0005138933,0.01736171,0.000712048,0.0005230013
10000,100,1,0.1,10,0.01,0.001636102,0.000792781,0.0005511543,1.153666e-06,2.105175e-05
10000,100,3,0.1,10,0.01,0.0009027718,0.0005888939,0.1753387,0.03633454,0.003736009
10000,100,5,0.1,10,0.01,0.0006874636,0.0005138933,0.2331888,0.1186824,0.006752137
10000,100,1,0.2,20,0.01,0.001636102,0.000792781,2.122029e-11,3.414659e-21,1.145307e-12
10000,100,3,0.2,20,0.01,0.0009027718,0.0005888939,0.0001581571,1.093359e-07,6.480812e-06
10000,100,5,0.2,20,0.01,0.0006874636,0.0005138933,0.01034798,0.0002792206,0.0003275079
