n_MC,n,T,mu,mu_n,Estimate,Variance,IS_Estimate,IS_Variance
10000,100,0.5,0.01,1,0.999406,0.0005936472,0.7333476,0.4128732
10000,100,1.0,0.01,1,0.999758,0.0002419414,0.926902,11.95803
10000,100,1.5,0.01,1,0.999948,5.19973e-05,0.946042,104.9281
10000,100,2.0,0.01,1,0.999974,2.599932e-05,0.826982,265.9122
10000,100,2.5,0.01,1,0.99999,9.9999e-06,0.6202773,304.3737
10000,100,3.0,0.01,1,0.999996,3.999984e-06,0.4058519,205.3501
10000,100,3.5,0.01,1,1.0,0.0,0.2360934,95.2244
10000,100,4.0,0.01,1,1.0,0.0,0.124859,33.4749
10000,100,4.5,0.01,1,1.0,0.0,0.06111626,9.509733
10000,100,5.0,0.01,1,1.0,0.0,0.02790703,2.278561
10000,100,0.5,0.02,2,0.745916,0.1895253,0.3879376,0.1324764
10000,100,1.0,0.02,2,0.935702,0.06016377,0.7086991,0.5270544
10000,100,1.5,0.02,2,0.983334,0.01638824,0.8178078,4.705436
10000,100,2.0,0.02,2,0.99575,0.004231937,0.804383,23.22192
10000,100,2.5,0.02,2,0.99893,0.001068855,0.7039626,51.86705
10000,100,3.0,0.02,2,0.999728,0.000271926,0.5489293,63.69006
10000,100,3.5,0.02,2,0.999916,8.399294e-05,0.3833209,50.45542
10000,100,4.0,0.02,2,0.99999,9.9999e-06,0.2413344,27.93842
10000,100,4.5,0.02,2,0.999992,7.999936e-06,0.1381917,11.59071
10000,100,5.0,0.02,2,1.0,0.0,0.07386868,4.117259
10000,100,0.5,0.03,3,0.397738,0.2395425,0.1557551,0.03568767
10000,100,1.0,0.03,3,0.758708,0.1830702,0.4787085,0.1774405
10000,100,1.5,0.03,3,0.916322,0.07667599,0.6758552,0.5549909
10000,100,2.0,0.03,3,0.972476,0.02676643,0.7174632,2.249127
10000,100,2.5,0.03,3,0.991642,0.008288144,0.6495797,6.220992
10000,100,3.0,0.03,3,0.99745,0.002543498,0.5246044,12.45004
10000,100,3.5,0.03,3,0.999212,0.0007873791,0.3836605,16.75754
10000,100,4.0,0.03,3,0.999786,0.0002139542,0.257134,15.52699
10000,100,4.5,0.03,3,0.999894,0.0001059888,0.1596717,10.74688
10000,100,5.0,0.03,3,0.999978,2.199952e-05,0.09100838,5.022089
10000,100,0.5,0.04,4,0.15852,0.1333914,0.04796331,0.005014412
10000,100,1.0,0.04,4,0.516312,0.2497339,0.2662303,0.08092455
10000,100,1.5,0.04,4,0.77752,0.1729826,0.4996852,0.2038182
10000,100,2.0,0.04,4,0.90937,0.0824162,0.627451,0.6158817
10000,100,2.5,0.04,4,0.967088,0.0318288,0.6533433,3.976132
10000,100,3.0,0.04,4,0.988266,0.01159631,0.6242543,29.34837
10000,100,3.5,0.04,4,0.996096,0.003888759,0.5801413,132.65
10000,100,4.0,0.04,4,0.998738,0.001260407,0.5359021,349.3356
10000,100,4.5,0.04,4,0.999552,0.0004477993,0.4812515,571.5226
10000,100,5.0,0.04,4,0.99986,0.0001399804,0.4154776,673.6783
10000,100,0.5,0.05,5,0.049486,0.04703714,0.01280158,0.0004482929
